group_id,entity_name,entity_value,filename
748919,item_weight,500.0 gram,61I9XdN6OFL.jpg
916768,item_volume,1.0 cup,71gSRbyXmoL.jpg
459516,item_weight,0.709 gram,61BZ4zrjZXL.jpg
459516,item_weight,0.709 gram,612mrlqiI4L.jpg
731432,item_weight,1400 milligram,617Tl40LOXL.jpg
731432,item_weight,1400 milligram,61QsBSE7jgL.jpg
731432,item_weight,1400 milligram,81xsq6vf2qL.jpg
731432,item_weight,1400 milligram,71DiLRHeZdL.jpg
731432,item_weight,1400 milligram,91Cma3RzseL.jpg
731432,item_weight,1400 milligram,71jBLhmTNlL.jpg
149159,item_weight,30.0 kilogram,81N73b5khVL.jpg
281678,item_weight,3.53 ounce,91LPf6OjV9L.jpg
281678,item_weight,3.53 ounce,81fOxWWWKYL.jpg
281678,item_weight,53 ounce,81dzao1Ob4L.jpg
281678,item_weight,100 gram,91-iahVGEDL.jpg
731432,item_weight,200 gram,81S2+GnYpTL.jpg
731432,item_weight,1 kilogram,81e2YtCOKvL.jpg
731432,item_weight,200 gram,81RNsNEM1EL.jpg
731432,item_weight,200 gram,91prZeizZnL.jpg
731432,item_weight,200 gram,31EvJszFVfL.jpg
252585,item_volume,4.0 gallon,61wzlucTREL.jpg
299791,item_weight,2.7 gram,61sQ+qAKr4L.jpg
884560,item_weight,112 gram,81x77l2T5NL.jpg
179080,item_weight,4.1 kilogram,71nywfWZUwL.jpg
179080,voltage,48.0 volt,71nywfWZUwL.jpg
866516,item_weight,158.0 gram,51WsuKKAVrL.jpg
866516,item_weight,158.0 gram,61XGDKap+JL.jpg
459516,item_weight,5000 milligram,715vVcWJxGL.jpg
524635,item_weight,18.55 gram,613v+2W4UwL.jpg
524635,item_weight,18.55 gram,71+fn9TWQmL.jpg
524635,item_weight,18.55 gram,71aKgRRQ2wL.jpg
524635,item_weight,18.55 gram,71rKXZJrh4L.jpg
524635,item_weight,18.55 gram,71D824lbRvL.jpg
730429,item_weight,50.0 gram,71004c9tzfL.jpg
881883,item_weight,26.0 gram,51bQPPtMqYL.jpg
179080,wattage,800.0 watt,61o2ntPNNgL.jpg
179080,voltage,36.0 volt,61o2ntPNNgL.jpg
601746,item_weight,330.0 pound,71IUuTJ8QwL.jpg
487566,item_weight,31.0 ounce,915JHkwtcrL.jpg
794161,item_weight,0.35 ounce,71cjrYndwIL.jpg
639090,item_weight,35.0 gram,81hnk2WXO3L.jpg
752266,wattage,150.0 watt,61HXgujoxpL.jpg
752266,wattage,150.0 watt,613G8GOyLSL.jpg
752266,wattage,30.0 watt,71YyZ2iPyZL.jpg
752266,wattage,30.0 watt,81K3JwUCnQL.jpg
299791,item_weight,15.5 gram,41wvffSxB4L.jpg
237000,item_weight,200.0 gram,91cErO-KbLL.jpg
179080,wattage,250.0 watt,817vo3DcCNL.jpg
884560,item_volume,10.0 ounce,61AHQ35poHL.jpg
844474,item_weight,0.8 kilogram,61WFh8RCQYL.jpg
709627,item_weight,169.0 gram,711SATIDrmL.jpg
299791,item_weight,10.0 gram,61x6RSjwQIL.jpg
523149,item_weight,7.0 gram,613BeFNwHcL.jpg
630390,item_weight,750.0 gram,61hWZdkq6WL.jpg
810266,item_weight,160.0 gram,71E7CU55dcL.jpg
748919,item_weight,270.0 gram,61c+hSNnnZL.jpg
993359,item_weight,500 gram,915w0BdW-gL.jpg
731432,item_weight,1 kilogram,61sx0ezNNLL.jpg
731432,item_weight,10 kilogram,71ldprwbKrL.jpg
731432,item_weight,1 kilogram,71E9iF-bmKL.jpg
731432,item_weight,2.2 pound,71sWRp1SNwL.jpg
752266,wattage,60.0 watt,61Fwq4GeTmL.jpg
459516,item_volume,30.0 millilitre,61-oj+N+BxL.jpg
459516,item_volume,30.0 millilitre,71e6kJLE+LL.jpg
459516,item_volume,30.0 millilitre,71SuzaRS7gL.jpg
459516,item_volume,30.0 millilitre,71nsfFCXF0L.jpg
459516,item_volume,30.0 millilitre,71hgN7yu9OL.jpg
529606,item_weight,2 ounce,61SmT8pkLtL.jpg
299791,item_weight,8.1 gram,71ZtDgGX+iL.jpg
308856,item_weight,2 kilogram,413FQB0ZMLL.jpg
308856,item_weight,10 kilogram,41EjbFu-+yL.jpg
681445,item_weight,500.0 kilogram,71dWDwMhWmS.jpg
365637,item_weight,200.0 gram,61d6Kj80QSL.jpg
365637,item_weight,200.0 gram,71bvOuz9w1L.jpg
365637,item_weight,200.0 gram,71l0M0tMGjL.jpg
365637,item_weight,200.0 gram,71Lpqdrpi4L.jpg
365637,item_weight,100.0 gram,71jLIbCcwOL.jpg
365637,item_weight,200.0 gram,718EdwGgyVL.jpg
487566,item_weight,5.0 kilogram,713twQgCHSL.jpg
767202,item_weight,60.0 pound,61I0O1qJbhS.jpg
731432,item_weight,227 gram,716AQpAJjZL.jpg
709627,item_weight,100 gram,71FVeRd2jqL.jpg
639090,item_weight,190.0 gram,81njuNSPdjL.jpg
639090,item_weight,100.0 gram,51xfRlxWIXL.jpg
459516,item_weight,600 milligram,71duwM3SjpL.jpg
630869,item_weight,3.2 gram,612xIhPMHqL.jpg
630869,item_weight,6.5 gram,51b9JEHOriL.jpg
881883,item_weight,160.0 gram,81lgxfKqUUL.jpg
558374,item_weight,42.0 gram,814sAvV89SL.jpg
601746,item_weight,26.0 gram,61cMeogK8gL.jpg
752266,wattage,0.55 watt,811VfR10yxL.jpg
254449,item_weight,50.0 milligram,71WLYfmMqQL.jpg
523149,item_weight,10.0 kilogram,61Dq3LRei9L.jpg
416664,wattage,49.0 watt,71XK5d3Oh9L.jpg
459516,item_weight,500 milligram,61kyBEJYDeL.jpg
459516,item_weight,500 milligram,71uQmsTESvL.jpg
241608,item_weight,16.0 gram,71jG8BOi4WL.jpg
308856,item_weight,8 kilogram,61390hosjFL.jpg
459516,item_volume,500.0 millilitre,71PDbPb275L.jpg
630869,item_weight,3.0 pound,71YiRw3e1lL.jpg
459516,item_weight,750.0 milligram,719poaEkdEL.jpg
308671,item_weight,8.0 gram,41njJJg-ANL.jpg
299791,item_weight,23.0 gram,71qEriwsbIL.jpg
630869,item_weight,9.8 gram,514M5CrBK4L.jpg
442321,item_weight,198.0 pound,61qOr-yqaVL.jpg
991868,item_weight,9.0 kilogram,61xxqfM2EwL.jpg
208023,item_weight,2.5 kilogram,81yG9eUKvxL.jpg
593600,item_weight,50.0 gram,61FMOl299lL.jpg
459516,item_volume,10.0 millilitre,41Kn+YOyPjL.jpg
459516,item_volume,200.0 millilitre,51q9OE6hfgL.jpg
299791,item_weight,4.1 gram,51T1Kh7WWGL.jpg
630869,item_weight,9.2 gram,71G8XyPqcIL.jpg
308856,item_weight,600.0 gram,61Hhju+qn9L.jpg
308856,item_weight,20.0 kilogram,51Alw-4+zJL.jpg
731432,item_weight,13.0 gram,81l6zfwKG7L.jpg
731432,item_weight,13.0 gram,71eATPu53YL.jpg
731432,item_weight,1000.0 milligram,81R8CrWXthL.jpg
908443,item_weight,264.0 gram,71qiWPgPcUS.jpg
308856,item_weight,34 kilogram,81nyHjPXg-L.jpg
299791,item_weight,72.57 gram,71EREAIkJZS.jpg
459516,item_weight,100 gram,61bpzE0p4yL.jpg
731432,item_weight,180 gram,71yqAwAikaL.jpg
731432,item_weight,180 gram,61431aMH6cL.jpg
731432,item_weight,180 gram,71lxjbXw9bL.jpg
731432,item_weight,180 gram,71cziTM6TfL.jpg
731432,item_weight,180 gram,71Btb49O2dL.jpg
630869,item_weight,33 gram,51QhV+Ox86L.jpg
523149,item_weight,8.0 gram,51ArM1PP7WL.jpg
558374,item_weight,1.77 ounce,51F+K7Zx9fL.jpg
881883,item_weight,350.0 gram,51u2vv6e8yL.jpg
529606,item_weight,567.0 gram,71PexaOBvoL.jpg
529606,item_weight,567.0 gram,81uHTyMDa7L.jpg
529606,item_weight,567.0 gram,81x+p0LzKbL.jpg
529606,item_weight,567.0 gram,71kCYzCu0UL.jpg
529606,item_weight,567.0 gram,81F2B83meFL.jpg
